epoch,train_loss,train_acc,train_macroF1,train_binaryF1,test_loss,test_acc,test_macroF1,test_binaryF1
1,2.1672617564680547,0.3914332784184514,0.3357388413251009,0.9033244172716851,1.7739935874624844,0.36429512516469037,0.3069639787487881,0.8995901639344263
2,1.6076999105378078,0.47677100494233937,0.45331674845119796,0.944769330734243,1.5098276593782527,0.43412384716732544,0.40730440589179584,0.9396462018730489
3,1.3844660813568843,0.5471169686985173,0.5379071086997581,0.9578092243186582,1.3861205021854446,0.4881422924901186,0.4783859796521503,0.9495054659031754
4,1.2425159735970286,0.5789126853377266,0.5716820985920259,0.9622166246851386,1.3314312006959175,0.5,0.4909116046445053,0.9479830148619958
5,1.1253611439338822,0.6072487644151565,0.5991318021849709,0.9783346384755939,1.2570846757712886,0.5164690382081687,0.5045714742519801,0.9664082687338501
6,1.043601909932823,0.6250411861614498,0.6103432789902439,0.9775528740106397,1.237204240244839,0.5171277997364954,0.5044967977517809,0.9567901234567902
7,0.9747218732582482,0.6588138385502471,0.6521360044198052,0.9845103701758992,1.2068101541483984,0.5118577075098815,0.5132419522384072,0.9603340292275574
8,0.9086291881330324,0.6761120263591434,0.660141892661542,0.9820675105485233,1.206492810067138,0.5164690382081687,0.4931134099826761,0.9591194968553459
9,0.849286810746892,0.7028006589785832,0.6964681264768227,0.9896230132667805,1.1543907726549192,0.5250329380764164,0.5154679167411723,0.9650495565988524
10,0.7821211542486163,0.7215815485996705,0.7156645847094869,0.9897070467141726,1.142340458271846,0.5507246376811594,0.5409187283206575,0.9701101206082853
11,0.7515679894404906,0.7546952224052719,0.7479028171872415,0.9926354550236718,1.1606909663309692,0.5612648221343873,0.5593157912562484,0.9683445770627919
12,0.7126425200474911,0.7622734761120263,0.7501281519253176,0.9906121909295253,1.1442400171508589,0.5546772068511199,0.5429752433451058,0.9579115610015982
13,0.6636810757379359,0.7825370675453048,0.7623990041533952,0.9947368421052631,1.1780071266397971,0.5434782608695652,0.5366056161898753,0.9712493465760585
14,0.6640353585978512,0.757331136738056,0.7439189831856348,0.9910479199578726,1.2125043718240007,0.5401844532279315,0.53674114273424,0.9667013527575442
15,0.6250646715109195,0.813673805601318,0.7988515297332096,0.9956550362080316,1.1533811439481492,0.5573122529644269,0.54215635438696,0.9716981132075472
16,0.5661799561447131,0.8248764415156508,0.8187311494707301,0.9953953427180634,1.2037958173726702,0.5586297760210803,0.5590742139949272,0.9648033126293996
17,0.5331928645170108,0.8425041186161449,0.8335392749548108,0.9968437664387164,1.1475663183549019,0.575098814229249,0.5658870468956978,0.9707419017763845
18,0.4979087753979339,0.8217462932454696,0.8150301531178047,0.9939727463312369,1.2511482223063433,0.5586297760210803,0.5595251131779186,0.9695405265875064
19,0.5392697211741616,0.8349258649093905,0.8270109610778272,0.9943502824858758,1.2424786370419387,0.5619235836627141,0.5579933158276705,0.9656964656964657
20,0.4872321032613663,0.8680395387149917,0.8616306032737763,0.9977687360546004,1.1850570495263704,0.6034255599472991,0.6009254774139027,0.9725814795654423
