epoch,train_loss,acc,macroF1,binaryF1,best_macro_so_far
1,2.2600107471993627,0.3376304481276857,0.2900662924279172,0.8997668997668997,0.2900662924279172
2,1.6188876704966768,0.4426028238182934,0.4287687264101715,0.9361497839654346,0.4287687264101715
3,1.3259769253274227,0.46286065070595456,0.4756501779020593,0.9403578528827037,0.4756501779020593
4,1.1939725393944598,0.47513812154696133,0.4975466227208583,0.9427443237907206,0.4975466227208583
5,1.072725034140526,0.4972375690607735,0.5294360085051707,0.9476744186046512,0.5294360085051707
6,0.9280685744387038,0.5211786372007366,0.5312715995986484,0.9510627780523975,0.5312715995986484
7,0.8243466926381943,0.5230202578268877,0.5344773374661972,0.953921568627451,0.5344773374661972
8,0.7397058108385574,0.5260896255371393,0.5451728487470637,0.9509803921568627,0.5451728487470637
9,0.6467496096453769,0.5389809699201964,0.5495827066200237,0.9551060680809077,0.5495827066200237
10,0.556103396922984,0.5224063842848373,0.5367139339541687,0.9489194499017681,0.5495827066200237
11,0.4983405955928437,0.5322283609576427,0.5388456480577788,0.9554896142433233,0.5495827066200237
12,0.40216900408267975,0.5420503376304481,0.565930276551806,0.9552093476144108,0.565930276551806
13,0.30722588712864735,0.5193370165745856,0.5447702399840583,0.9537856440511308,0.565930276551806
14,0.25806071965935384,0.516267648864334,0.5415432443716122,0.950465914664051,0.565930276551806
15,0.25928336544398295,0.5107427869858809,0.5281163710906915,0.9549200193892389,0.565930276551806
16,0.16863156954183223,0.5316144874155924,0.5529744935759949,0.9572901325478647,0.565930276551806
17,0.11098278872668743,0.518109269490485,0.5506476394851552,0.9534541891229789,0.565930276551806
18,0.07121459866299275,0.5322283609576427,0.5626275950616959,0.950465914664051,0.565930276551806
19,0.05645519679293354,0.523634131368938,0.5536346148660989,0.9537712895377128,0.565930276551806
20,0.04722637916974565,0.5322283609576427,0.5606958760539021,0.9535906204201271,0.565930276551806
